is_fraud,hour,pos_entry_mode,transaction_amount,merchant_category_code,txn_count_24h,spend_24h,mins_since_last,merchant_id,prev_merchant,unusual_mcc,rf_score
0,15,e-wallet,19.97,5812,0.0,0.0,9999.0,M000021,none,1,0.002067648377477329
0,21,contactless,19.89,5812,0.0,0.0,9999.0,M000046,none,1,4.155625051935501e-05
0,13,ecom,197.74,4900,0.0,0.0,9999.0,M000011,none,1,0.03023496068382929
0,10,contactless,70.2,5411,0.0,0.0,9999.0,M000176,none,1,0.008423248640136423
0,14,ecom,36.57,5999,0.0,0.0,9999.0,M000217,none,1,0.0772307195530383
0,6,ecom,90.84,7995,0.0,0.0,9999.0,M000040,none,1,0.11682197815338474
0,14,ecom,4.99,5968,0.0,0.0,9999.0,M000004,none,1,0.0507399954016031
0,9,chip,23.69,5812,0.0,0.0,9999.0,M000000,none,1,4.155625051935501e-05
0,18,ecom,65.13,5999,0.0,0.0,9999.0,M000043,none,1,0.08524964951980817
0,9,ecom,228.31,4900,0.0,0.0,9999.0,M000011,none,1,0.03991301899700817
0,20,contactless,8.96,5411,0.0,0.0,9999.0,M000014,none,1,0.0010383562021636728
0,15,ecom,37.71,5999,0.0,0.0,9999.0,M000077,none,1,0.08998494409738418
0,23,phone,18.25,5411,0.0,0.0,9999.0,M000002,none,1,0.007845903816118844
0,17,e-wallet,179.87,5817,0.0,0.0,9999.0,M000168,none,1,0.008359740300835533
0,16,e-wallet,120.35,5817,0.0,0.0,9999.0,M000168,none,1,0.010078085161592382
0,12,chip,48.04,5812,0.0,0.0,9999.0,M000013,none,1,0.0024240007480710577
0,14,chip,96.25,5411,0.0,0.0,9999.0,M000014,none,1,0.0016231911237992017
0,18,chip,33.12,7832,0.0,0.0,9999.0,M000226,none,1,0.008461534126175205
0,9,contactless,53.05,5812,0.0,0.0,9999.0,M000081,none,1,0.00422035865299718
0,21,ecom,117.64,4900,0.0,0.0,9999.0,M000011,none,1,0.022302616383893668
0,6,contactless,36.59,5812,0.0,0.0,9999.0,M000116,none,1,0.004667364075022923
0,22,ecom,46.68,7832,0.0,0.0,9999.0,M000147,none,1,0.11041510623290049
0,11,contactless,45.57,5411,0.0,0.0,9999.0,M000005,none,1,0.0005515534166048386
0,12,contactless,51.26,5812,0.0,0.0,9999.0,M000021,none,1,0.0011717716785175716
0,18,chip,46.33,5812,0.0,0.0,9999.0,M000220,none,1,0.0017720073004899506
0,22,ecom,9.99,5968,0.0,0.0,9999.0,M000004,none,1,0.10172188884786375
0,13,ecom,37.05,5999,0.0,0.0,9999.0,M000804,none,1,0.09581603657582277
0,16,ecom,42.78,5999,0.0,0.0,9999.0,M000016,none,1,0.05335780200682696
0,21,contactless,62.28,5411,0.0,0.0,9999.0,M000074,none,1,0.001448682193271996
0,13,ecom,35.31,5999,0.0,0.0,9999.0,M000018,none,1,0.08341041968505172
0,9,chip,54.81,5411,0.0,0.0,9999.0,M000002,none,1,0.0005337150115681125
0,15,ecom,524.72,4511,0.0,0.0,9999.0,M000385,none,1,0.09237614467302378
0,17,chip,51.37,7832,0.0,0.0,9999.0,M000087,none,1,0.01124216462715872
0,9,ecom,36.99,5999,0.0,0.0,9999.0,M000624,none,1,0.0991528786242753
0,12,contactless,17.74,5411,0.0,0.0,9999.0,M000005,none,1,4.155625051935501e-05
0,1,ecom,29.99,5968,0.0,0.0,9999.0,M000004,none,1,0.13799161607764782
0,18,contactless,40.85,5411,0.0,0.0,9999.0,M000030,none,1,0.0005515534166048386
0,22,ecom,37.14,5999,0.0,0.0,9999.0,M000167,none,1,0.12053537812329938
0,22,ecom,57.81,5999,0.0,0.0,9999.0,M000043,none,1,0.13604735403869989
0,14,ecom,130.78,5999,0.0,0.0,9999.0,M000043,none,1,0.08855759985834523
0,14,chip,48.01,7832,0.0,0.0,9999.0,M000912,none,1,0.010949000103198638
0,17,ecom,493.61,4511,0.0,0.0,9999.0,M000133,none,1,0.16153912149412927
0,17,ecom,42.23,5999,0.0,0.0,9999.0,M000170,none,1,0.0845141720056
0,14,ecom,9.99,5968,0.0,0.0,9999.0,M000004,none,1,0.04925458133453773
0,17,contactless,19.27,5411,0.0,0.0,9999.0,M000024,none,1,8.596444337779256e-05
0,17,magstripe,40.29,5411,0.0,0.0,9999.0,M000002,none,1,0.0007593990453236407
0,11,ecom,68.08,5999,0.0,0.0,9999.0,M000677,none,1,0.09270149985407247
0,21,chip,40.33,5411,0.0,0.0,9999.0,M000044,none,1,0.000507145223746401
0,20,e-wallet,84.9,5411,0.0,0.0,9999.0,M000005,none,1,0.0005515534166048386
0,11,ecom,59.38,5999,0.0,0.0,9999.0,M000010,none,1,0.0846728706467086
0,8,ecom,276.96,7011,0.0,0.0,9999.0,M000003,none,1,0.04390651034402489
0,21,contactless,28.09,5411,0.0,0.0,9999.0,M000005,none,1,8.596444337779256e-05
0,13,chip,32.25,5411,0.0,0.0,9999.0,M000041,none,1,8.596444337779256e-05
0,23,contactless,19.18,5812,0.0,0.0,9999.0,M000000,none,1,0.014822398859019597
0,16,contactless,35.19,5812,0.0,0.0,9999.0,M000006,none,1,4.155625051935501e-05
0,13,ecom,44.07,5999,0.0,0.0,9999.0,M000016,none,1,0.06670916784161252
0,17,contactless,22.63,5541,0.0,0.0,9999.0,M000035,none,1,4.155625051935501e-05
0,14,magstripe,10.31,5812,0.0,0.0,9999.0,M000020,none,1,0.0004459666408067197
0,23,contactless,27.51,5812,0.0,0.0,9999.0,M000082,none,1,0.007897969830514695
0,8,contactless,46.48,5541,0.0,0.0,9999.0,M000139,none,1,0.008873992732644076
0,18,chip,101.82,5944,0.0,0.0,9999.0,M000017,none,1,0.006465981304223057
0,15,chip,33.45,5541,0.0,0.0,9999.0,M000229,none,1,0.0009710809824686067
0,18,chip,608.36,5944,0.0,0.0,9999.0,M000183,none,1,0.027833626598128925
